Player,,Loan: start/end,Age,Nationality,Region Nat,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Carl Starfelt,In,No,28,Sweden,Europe,Centre-Back,"6,500,000",Celtic,Scottish Premiership,"Europe, ex. Top Leagues",Scotland,First Tier,Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,,5000000,442
Emmanuel Latte Lath,Out,No,24,Cote d'Ivoire,Africa,Centre-Forward,"1,500,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Middlesbrough,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,5000000,718
Lorenzo Pirola,Inside,No,21,Italy,Europe,Centre-Back,"8,000,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Salernitana,"Serie A, Italy",Top,Italy,First Tier,,5000000,1504
Giovanni Fabbian,Inside,No,20,Italy,Europe,Central Midfield,"6,000,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Bologna,"Serie A, Italy",Top,Italy,First Tier,,5000000,918
Youssef Maleh,Inside,No,24,Morocco,Africa,Central Midfield,"4,500,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Lecce,"Serie A, Italy",Top,Italy,First Tier,,5000000,2656
Matteo Prati,In,No,19,Italy,Europe,Defensive Midfield,"4,000,000",SPAL,"Serie C - Girone B, Italy","Europe, ex. Top Leagues",Italy,Third Tier,Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,,5000000,1761
Cédric Zesiger,In,No,25,Switzerland,Europe,Centre-Back,"5,500,000",BSC Young Boys,"Super League, Swiss","Europe, ex. Top Leagues",Switzerland,First Tier,VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,,5000000,453
Altay Bayindir,In,No,25,Turkey,Europe,Goalkeeper,"10,000,000",Fenerbahce,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,Man Utd,"Premier League, England",Top,England,First Tier,,5000000,151
Carles Pérez,Inside,No,25,Spain,Europe,Right Winger,"5,000,000",AS Roma,"Serie A, Italy",Top,Italy,First Tier,Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,,5200000,444
Bertug Yildirim,In,No,21,Turkey,Europe,Centre-Forward,"2,700,000",Hatayspor,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,,5400000,374
Angelo Stiller,Inside,No,22,Germany,Europe,Defensive Midfield,"5,000,000",TSG Hoffenheim,"Bundesliga, German",Top,Germany,First Tier,VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,,5500000,244
Andy Diouf,Out,No,20,France,Europe,Central Midfield,"7,000,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,FC Basel,"Super League, Swiss","Europe, ex. Top Leagues",Switzerland,First Tier,,5500000,221
Aleksa Terzic,Out,No,23,Serbia,Europe,Left-Back,"4,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,RB Salzburg,"Bundesliga, Austria","Europe, ex. Top Leagues",Austria,First Tier,,5500000,75
Rogério,Inside,No,25,Brazil,South America,Left-Back,"5,500,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,,5500000,2214
Radu Dragusin,Inside,No,21,Romania,Europe,Centre-Back,"10,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Genoa,"Serie A, Italy",Top,Italy,First Tier,,5500000,2125
Douglas Augusto,In,No,26,Brazil,South America,Central Midfield,"4,500,000",PAOK Salonika,"Super League 1, Greece","Europe, ex. Top Leagues",Greece,First Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,,5500000,660
Mostafa Mohamed,In,No,25,Egypt,Africa,Centre-Forward,"6,000,000",Galatasaray,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,,5750000,1890
Jaden Philogene,Out,No,21,England,Europe,Left Winger,"2,800,000",Aston Villa,"Premier League, England",Top,England,First Tier,Hull City,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,5800000,1090
Sam Surridge,Out,No,24,England,Europe,Centre-Forward,"5,500,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Nashville,"Major League Soccer, US",North America,US,First Tier,,5800000,2279
Auston Trusty,Inside,No,24,United States,North America,Centre-Back,"8,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Sheff Utd,"Premier League, England",Top,England,First Tier,,5800000,325
Ryan Giles,Inside,No,23,England,Europe,Left-Back,"6,000,000",Wolves,"Premier League, England",Top,England,First Tier,Luton,"Premier League, England",Top,England,First Tier,,5850000,2248
