Player,,Loan: start/end,Age,Nationality,Region Nat,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Tommy Doyle,In,No,21,England,Europe,Central Midfield,"7,000,000",Man City U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Man City,"Premier League, England",Top,England,First Tier,,0,2523
Jarell Quansah,In,No,20,England,Europe,Centre-Back,"2,000,000",Liverpool U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Liverpool,"Premier League, England",Top,England,First Tier,,0,1121
Jay Stansfield,In,No,20,England,Europe,Centre-Forward,"1,200,000",Fulham U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Fulham,"Premier League, England",Top,England,First Tier,,0,1138
Carl Rushworth,In,No,21,England,Europe,Goalkeeper,"900,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,441
Lewis Dobbin,In,No,20,England,Europe,Left Winger,"900,000",Everton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Everton,"Premier League, England",Top,England,First Tier,,0,1472
Divin Mubama,In,No,18,England,Europe,Centre-Forward,"800,000",West Ham U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,West Ham,"Premier League, England",Top,England,First Tier,,0,641
Jensen Weir,In,No,21,England,Europe,Central Midfield,"450,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,1166
Tyler Onyango,In,No,20,England,Europe,Central Midfield,"450,000",Everton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Everton,"Premier League, England",Top,England,First Tier,,0,2532
Lucas Bergström,In,No,20,Finland,Europe,Goalkeeper,"500,000",Chelsea U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Chelsea,"Premier League, England",Top,England,First Tier,,0,1534
Reda Khadra,In,No,21,Germany,Europe,Attacking Midfield,"1,400,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,2159
Thomas Cannon,In,No,20,Ireland,Europe,Centre-Forward,"5,000,000",Everton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Everton,"Premier League, England",Top,England,First Tier,,0,2457
Andy Moran,In,No,19,Ireland,Europe,Attacking Midfield,"300,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,226
Ian Maatsen,In,No,21,Netherlands,Europe,Left-Back,"20,000,000",Chelsea U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Chelsea,"Premier League, England",Top,England,First Tier,,0,1004
Conor Bradley,In,No,19,Northern Ireland,Europe,Right-Back,"1,500,000",Liverpool U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Liverpool,"Premier League, England",Top,England,First Tier,,0,519
Oscar Bobb,In,No,19,Norway,Europe,Right Winger,"10,000,000",Man City U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Man City,"Premier League, England",Top,England,First Tier,,0,2026
Marc Leonard,In,No,21,Scotland,Europe,Central Midfield,"300,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,1634
Luke Harris,In,No,18,Wales,Europe,Attacking Midfield,"1,000,000",Fulham U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Fulham,"Premier League, England",Top,England,First Tier,,0,1581
Ed Turns,In,No,20,Wales,Europe,Centre-Back,"350,000",Brighton U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve League,Brighton,"Premier League, England",Top,England,First Tier,,0,671
Pontus Jansson,Out,No,32,Sweden,Europe,Centre-Back,"2,000,000",Brentford,"Premier League, England",Top,England,First Tier,Malmö FF,"Allsvenskan, Sweden","Europe, ex. Top Leagues",Sweden,First Tier,,0,2115
Naby Keïta,Inside,No,28,Guinea,Africa,Central Midfield,"12,000,000",Liverpool,"Premier League, England",Top,England,First Tier,Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,,0,1910
Lucas Moura,Out,No,30,Brazil,South America,Right Winger,"6,000,000",Tottenham,"Premier League, England",Top,England,First Tier,São Paulo,Campeonato Brasileiro Série A,South America,Brazil,First Tier,,0,1541
Diego Costa,Out,No,34,Spain,Europe,Centre-Forward,"2,000,000",Wolves,"Premier League, England",Top,England,First Tier,Botafogo,Campeonato Brasileiro Série A,South America,Brazil,First Tier,,0,614
Asmir Begovic,Out,No,36,Bosnia-Herzegovina,Europe,Goalkeeper,"800,000",Everton,"Premier League, England",Top,England,First Tier,QPR,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,319
Joe Bryan,Out,No,29,England,Europe,Left-Back,"2,200,000",Fulham,"Premier League, England",Top,England,First Tier,Millwall,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,1202
Jack Stacey,Out,No,27,England,Europe,Right-Back,"2,000,000",Bournemouth,"Premier League, England",Top,England,First Tier,Norwich,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,1079
Ashley Barnes,Out,No,33,England,Europe,Centre-Forward,"1,000,000",Burnley,"Premier League, England",Top,England,First Tier,Norwich,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,314
Haydon Roberts,Out,No,21,England,Europe,Left-Back,"700,000",Brighton,"Premier League, England",Top,England,First Tier,Bristol City,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,985
Jack Colback,Out,No,33,England,Europe,Defensive Midfield,"600,000",Nottm Forest,"Premier League, England",Top,England,First Tier,QPR,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,1073
Shane Duffy,Out,No,31,Ireland,Europe,Centre-Back,"2,000,000",Fulham,"Premier League, England",Top,England,First Tier,Norwich,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,2366
Enda Stevens,Out,No,32,Ireland,Europe,Left-Back,"600,000",Sheff Utd,"Premier League, England",Top,England,First Tier,Stoke City,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,721
Cafú,Out,No,30,Portugal,Europe,Central Midfield,"600,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Rotherham,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,0,426
Manuel Lanzini,Out,No,30,Argentina,South America,Attacking Midfield,"5,000,000",West Ham,"Premier League, England",Top,England,First Tier,River Plate,"Copa de la Liga Profesional de Fútbol, Argentina",South America,Argentina,League Cup,,0,1627
Nahuel Bustos,Out,No,24,Argentina,South America,Centre-Forward,"4,500,000",Man City,"Premier League, England",Top,England,First Tier,CA Talleres,"Copa de la Liga Profesional de Fútbol, Argentina",South America,Argentina,League Cup,,0,1913
Joel Valencia,Out,No,28,Ecuador,South America,Attacking Midfield,"300,000",Brentford,"Premier League, England",Top,England,First Tier,Z. Sosnowiec,"Fortuna 1 Liga, Poland","Europe, ex. Top Leagues",Poland,Second Tier,,0,1213
Paulo Gazzaniga,Inside,No,31,Argentina,South America,Goalkeeper,"3,000,000",Fulham,"Premier League, England",Top,England,First Tier,Girona,"LaLiga, Spain",Top,Spain,First Tier,,0,2080
Ilkay Gündogan,Inside,No,32,Germany,Europe,Central Midfield,"20,000,000",Man City,"Premier League, England",Top,England,First Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,1032
César Azpilicueta,Inside,No,33,Spain,Europe,Right-Back,"5,000,000",Chelsea,"Premier League, England",Top,England,First Tier,Atlético Madrid,"LaLiga, Spain",Top,Spain,First Tier,,0,459
Vicente Guaita,Inside,No,36,Spain,Europe,Goalkeeper,"1,000,000",Crystal Palace,"Premier League, England",Top,England,First Tier,Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,,0,2566
Anthony Knockaert,Out,No,31,France,Europe,Right Winger,"900,000",Fulham,"Premier League, England",Top,England,First Tier,Valenciennes FC,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,,0,254
Steven Sessegnon,Out,No,23,England,Europe,Right-Back,"800,000",Fulham,"Premier League, England",Top,England,First Tier,Wigan,"League One, England","Europe, ex. Top Leagues",England,Third Tier,,0,2418
Sonny Bradley,Out,No,31,England,Europe,Centre-Back,"600,000",Luton,"Premier League, England",Top,England,First Tier,Derby,"League One, England","Europe, ex. Top Leagues",England,Third Tier,,0,2394
Harry Isted,Out,No,26,England,Europe,Goalkeeper,"350,000",Luton,"Premier League, England",Top,England,First Tier,Charlton,"League One, England","Europe, ex. Top Leagues",England,Third Tier,,0,978
Will Norris,Out,No,29,England,Europe,Goalkeeper,"350,000",Burnley,"Premier League, England",Top,England,First Tier,Portsmouth,"League One, England","Europe, ex. Top Leagues",England,Third Tier,,0,2599
Jordan Smith,Out,No,28,England,Europe,Goalkeeper,"250,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Stockport,"League Two, England","Europe, ex. Top Leagues",England,Fourth Tier,,0,1255
João Moutinho,Out,No,36,Portugal,Europe,Central Midfield,"1,500,000",Wolves,"Premier League, England",Top,England,First Tier,SC Braga,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,,0,1193
Ivan Cavaleiro,Inside,No,29,Angola,Africa,Left Winger,"2,200,000",Fulham,"Premier League, England",Top,England,First Tier,LOSC Lille,"Ligue 1, France",Top,France,First Tier,,0,1057
Ainsley Maitland-Niles,Inside,No,25,England,Europe,Central Midfield,"8,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,,0,54
Benjamin Mendy,Inside,No,29,France,Europe,Left-Back,"3,000,000",Man City,"Premier League, England",Top,England,First Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,,0,366
Tiemoué Bakayoko,Inside,No,29,France,Europe,Defensive Midfield,"2,500,000",Chelsea,"Premier League, England",Top,England,First Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,,0,2474
Pierre-Emerick Aubameyang,Inside,No,34,Gabon,Africa,Centre-Forward,"4,000,000",Chelsea,"Premier League, England",Top,England,First Tier,Marseille,"Ligue 1, France",Top,France,First Tier,,0,2108
Billy Sharp,Out,No,37,England,Europe,Centre-Forward,"200,000",Sheff Utd,"Premier League, England",Top,England,First Tier,Los Angeles,"Major League Soccer, US",North America,US,First Tier,,0,378
Adnan Kanuric,Out,No,22,Bosnia-Herzegovina,Europe,Goalkeeper,"150,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Without Club,No league,No club,-,No tier,,0,38
Jean-Philippe Gbamin,Out,No,27,Cote d'Ivoire,Africa,Defensive Midfield,"4,800,000",Everton,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1152
Jesse Lingard,Out,No,30,England,Europe,Attacking Midfield,"8,000,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1180
Axel Tuanzebe,Out,No,25,England,Europe,Centre-Back,"4,500,000",Man Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,330
Andros Townsend,Out,No,31,England,Europe,Right Winger,"1,500,000",Everton,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,215
Phil Jones,Out,No,31,England,Europe,Centre-Back,"1,500,000",Man Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,2095
Matty Longstaff,Out,No,23,England,Europe,Central Midfield,"1,000,000",Newcastle,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1780
Luke Freeman,Out,No,31,England,Europe,Attacking Midfield,"600,000",Luton,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1580
Jed Steer,Out,No,30,England,Europe,Goalkeeper,"500,000",Aston Villa,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1154
Junior Stanislas,Out,No,33,England,Europe,Left Winger,"500,000",Bournemouth,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1339
Matt Macey,Out,No,28,England,Europe,Goalkeeper,"350,000",Luton,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1747
Kyron Gordon,Out,No,21,England,Europe,Centre-Back,"250,000",Sheff Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1433
Matthew Lowton,Out,No,34,England,Europe,Right-Back,"250,000",Burnley,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1767
Henri Lansbury,Out,No,32,England,Europe,Central Midfield,0,Luton,"Premier League, England",Top,England,First Tier,Retired,No league,Retired,-,Retired,,0,989
Jack O'Connell,Out,No,29,England,Europe,Centre-Back,0,Sheff Utd,"Premier League, England",Top,England,First Tier,Retired,No league,Retired,-,Retired,,0,1078
André Ayew,Out,No,33,Ghana,Africa,Left Winger,"1,800,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,177
Tariqe Fosu,Out,No,27,Ghana,Africa,Left Winger,"1,800,000",Brentford,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,2434
Ciaran Clark,Out,No,33,Ireland,Europe,Centre-Back,"600,000",Newcastle,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,505
Glen Rea,Out,No,28,Ireland,Europe,Defensive Midfield,"200,000",Luton,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,934
Lyle Taylor,Out,No,33,Montserrat,North America,Centre-Forward,"300,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,1588
James McArthur,Out,No,35,Scotland,Europe,Central Midfield,0,Crystal Palace,"Premier League, England",Top,England,First Tier,Retired,No league,Retired,-,Retired,,0,1108
David de Gea,Out,No,32,Spain,Europe,Goalkeeper,"13,000,000",Man Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,No Club,-,No tier,,0,568
Jefferson Lerma,Inside,No,28,Colombia,South America,Defensive Midfield,"20,000,000",Bournemouth,"Premier League, England",Top,England,First Tier,Crystal Palace,"Premier League, England",Top,England,First Tier,,0,1161
Tom Davies,Inside,No,25,England,Europe,Central Midfield,"9,000,000",Everton,"Premier League, England",Top,England,First Tier,Sheff Utd,"Premier League, England",Top,England,First Tier,,0,2499
James Milner,Inside,No,37,England,Europe,Central Midfield,"1,500,000",Liverpool,"Premier League, England",Top,England,First Tier,Brighton,"Premier League, England",Top,England,First Tier,,0,1112
Ashley Young,Inside,No,38,England,Europe,Left-Back,"600,000",Aston Villa,"Premier League, England",Top,England,First Tier,Everton,"Premier League, England",Top,England,First Tier,,0,316
Adama Traoré,Inside,No,27,Spain,Europe,Right Winger,"10,000,000",Wolves,"Premier League, England",Top,England,First Tier,Fulham,"Premier League, England",Top,England,First Tier,,0,33
Roberto Firmino,Out,No,31,Brazil,South America,Centre-Forward,"18,000,000",Liverpool,"Premier League, England",Top,England,First Tier,Al-Ahli,Saudi Pro League,Asia,Saudi Arabia,First Tier,,0,2192
N'Golo Kanté,Out,No,32,France,Europe,Defensive Midfield,"15,000,000",Chelsea,"Premier League, England",Top,England,First Tier,Al-Ittihad Club,Saudi Pro League,Asia,Saudi Arabia,First Tier,,0,1907
Jack Butland,Out,No,30,England,Europe,Goalkeeper,"2,000,000",Crystal Palace,"Premier League, England",Top,England,First Tier,Rangers,Scottish Premiership,"Europe, ex. Top Leagues",Scotland,First Tier,,0,1072
Yerry Mina,Inside,No,28,Colombia,South America,Centre-Back,"10,000,000",Everton,"Premier League, England",Top,England,First Tier,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,2643
Jordan Zemura,Inside,No,23,Zimbabwe,Africa,Left-Back,"6,000,000",Bournemouth,"Premier League, England",Top,England,First Tier,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,0,1256
Abdul Rahman Baba,Out,No,29,Ghana,Africa,Left-Back,"1,200,000",Chelsea,"Premier League, England",Top,England,First Tier,PAOK Salonika,"Super League 1, Greece","Europe, ex. Top Leagues",Greece,First Tier,,0,26
Wilfried Zaha,Out,No,30,Cote d'Ivoire,Africa,Left Winger,"20,000,000",Crystal Palace,"Premier League, England",Top,England,First Tier,Galatasaray,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,,0,2596
Nicolas Pépé,Out,No,28,Cote d'Ivoire,Africa,Right Winger,"14,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Trabzonspor,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,,0,1957
Eric Bailly,Out,No,29,Cote d'Ivoire,Africa,Centre-Back,"4,000,000",Man Utd,"Premier League, England",Top,England,First Tier,Besiktas,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,,0,732
Alex Oxlade-Chamberlain,Out,No,29,England,Europe,Central Midfield,"6,000,000",Liverpool,"Premier League, England",Top,England,First Tier,Besiktas,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,,0,110
Neeskens Kebano,Out,No,31,DR Congo,Africa,Left Winger,"2,000,000",Fulham,"Premier League, England",Top,England,First Tier,Al-Jazira,UAE Pro League,Asia,UAE,First Tier,,0,1928
Luka Milivojevic,Out,No,32,Serbia,Europe,Defensive Midfield,"2,000,000",Crystal Palace,"Premier League, England",Top,England,First Tier,Shabab Al-Ahli,UAE Pro League,Asia,UAE,First Tier,,0,1569
Daler Kuzyaev,In,No,30,Russia,Europe,Central Midfield,"10,000,000",Zenit S-Pb,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,Le Havre AC,"Ligue 1, France",Top,France,First Tier,,0,535
Manor Solomon,In,No,23,Israel,Europe,Left Winger,"18,000,000",Shakhtar D.,"Premier Liga, Ukraine","Europe, ex. Top Leagues",Ukraine,First Tier,Tottenham,"Premier League, England",Top,England,First Tier,,0,1620
Brayan Boci,In,No,19,Albania,Europe,Left-Back,"150,000",Genoa U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,405
Dimo Krastev,In,No,20,Bulgaria,Europe,Centre-Back,"200,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,634
Chaka Traorè,In,No,18,Cote d'Ivoire,Africa,Left Winger,"500,000",Milan U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,0,465
Daniel Macej,In,No,19,Czech Republic,Europe,Centre-Back,"25,000",Frosinone U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,0,547
Jeppe Corfitzen,In,No,18,Denmark,Europe,Right Winger,"200,000",Lecce U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Lecce,"Serie A, Italy",Top,Italy,First Tier,,0,1167
Ali Dembélé,In,No,19,France,Europe,Right-Back,"200,000",Torino U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Torino,"Serie A, Italy",Top,Italy,First Tier,,0,141
Ange Caumenan N'Guessan,In,No,19,France,Europe,Centre-Back,"200,000",Torino U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Torino,"Serie A, Italy",Top,Italy,First Tier,,0,234
Michael Kayode,In,No,18,Italy,Europe,Right-Back,"5,000,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,1823
Francesco Pio Esposito,In,No,18,Italy,Europe,Centre-Forward,"1,500,000",Inter U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Inter,"Serie A, Italy",Top,Italy,First Tier,,0,834
Riccardo Pagano,In,No,18,Italy,Europe,Central Midfield,"1,500,000",Roma U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,AS Roma,"Serie A, Italy",Top,Italy,First Tier,,0,2177
Lorenzo Amatucci,In,No,19,Italy,Europe,Defensive Midfield,"1,000,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,1493
Tommaso Corazza,In,No,19,Italy,Europe,Left-Back,"1,000,000",Bologna U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Bologna,"Serie A, Italy",Top,Italy,First Tier,,0,2516
Pietro Comuzzo,In,No,18,Italy,Europe,Centre-Back,"700,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,2110
Filippo Distefano,In,No,19,Italy,Europe,Second Striker,"600,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,795
Davide Veroli,In,No,20,Italy,Europe,Centre-Back,"400,000",Cagliari U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,,0,583
Edoardo Pieragnolo,In,No,20,Italy,Europe,Left-Back,"300,000",Sassuolo U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,0,681
Costantino Favasuli,In,No,19,Italy,Europe,Left Midfield,"200,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,524
Lorenzo Palmisani,In,No,19,Italy,Europe,Goalkeeper,"200,000",Frosinone U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,0,1501
Tommaso Martinelli,In,No,17,Italy,Europe,Goalkeeper,"200,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,2518
Lapo Nava,In,No,19,Italy,Europe,Goalkeeper,"150,000",Milan U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,0,1440
Lorenzo Lucchesi,In,No,20,Italy,Europe,Centre-Back,"150,000",Fiorentina U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,1499
Kevin Miranda,In,No,20,Italy,Europe,Centre-Back,"125,000",Sassuolo U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,0,1392
Valerio Crespi,In,No,18,Italy,Europe,Centre-Forward,"100,000",Lazio U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Lazio,"Serie A, Italy",Top,Italy,First Tier,,0,2559
Simone Calvani,In,No,18,Italy,Europe,Goalkeeper,"50,000",Genoa U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,2377
Saná Fernandes,In,No,17,Portugal,Europe,Left Winger,"200,000",Lazio U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Lazio,"Serie A, Italy",Top,Italy,First Tier,,0,2305
Rares Burnete,In,No,19,Romania,Europe,Centre-Forward,"700,000",Lecce U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Lecce,"Serie A, Italy",Top,Italy,First Tier,,0,2145
Matjaz Kamensek-Pahic,In,No,18,Slovenia,Europe,Centre-Back,"100,000",Frosinone U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,0,1743
Joselito,In,No,19,Spain,Europe,Defensive Midfield,"75,000",Verona U19,"Primavera 1, Italy","Europe, ex. Top Leagues",Italy,Youth League,Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,,0,1278
Sekou Diawara,In,No,19,Belgium,Europe,Centre-Forward,"300,000",Udinese U19,"Primavera 2 - A, Italy","Europe, ex. Top Leagues",Italy,Youth League,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,0,2335
David Pejičić,In,No,16,Slovenia,Europe,Attacking Midfield,"500,000",Udinese U19,"Primavera 2 - A, Italy","Europe, ex. Top Leagues",Italy,Youth League,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,0,570
Lorenzo Russo,In,No,18,Italy,Europe,Attacking Midfield,"100,000",Napoli U19,"Primavera 2 - B, Italy","Europe, ex. Top Leagues",Italy,Youth League,SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,,0,1505
Nosa Edward Obaretin,In,No,20,Italy,Europe,Centre-Back,"25,000",Napoli U19,"Primavera 2 - B, Italy","Europe, ex. Top Leagues",Italy,Youth League,SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,,0,1998
Andres Sfait,In,No,18,Romania,Europe,Left Winger,"500,000",Salernitana U19,"Primavera 2 - B, Italy","Europe, ex. Top Leagues",Italy,Youth League,Salernitana,"Serie A, Italy",Top,Italy,First Tier,,0,208
Julián Araujo,In,No,21,Mexico,North America,Right-Back,"3,500,000",Barça Atlètic,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,1317
Chadi Riad,In,No,20,Morocco,Africa,Centre-Back,"500,000",Barça Atlètic,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,464
Ilias Akhomach,In,No,19,Spain,Europe,Right Winger,"3,000,000",Barça Atlètic,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Villarreal,"LaLiga, Spain",Top,Spain,First Tier,,0,1029
Jon Ander Olasagasti,In,No,22,Spain,Europe,Central Midfield,"1,000,000",Real Sociedad B,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,,0,1223
Diego Moreno,In,No,22,Spain,Europe,Right-Back,"800,000",CA Osasuna Prom,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,,0,626
Urko González de Zarate,In,No,22,Spain,Europe,Defensive Midfield,"700,000",Real Sociedad B,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,,0,2546
Álex Valle,In,No,19,Spain,Europe,Left-Back,"500,000",Barça Atlètic,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,120
Estanis Pedrola,In,No,19,Spain,Europe,Left Winger,"500,000",Barça Atlètic,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,739
Iker Muñoz,In,No,20,Spain,Europe,Defensive Midfield,"500,000",CA Osasuna Prom,"Primera Federación - Grupo I, Spain","Europe, ex. Top Leagues",Spain,Third Tier,CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,,0,1022
